Name	Class
000000	9
000001	0
000002	0
000003	3
000004	0
000005	2
000006	7
000007	2
000008	5
000009	5
000010	0
000011	9
000012	5
000013	5
000014	7
000015	9
000016	1
000017	0
000018	6
000019	4
000020	3
000021	1
000022	4
000023	8
000024	4
000025	3
000026	0
000027	2
000028	4
000029	4
000030	5
000031	3
000032	6
000033	6
000034	0
000035	8
000036	5
000037	2
000038	1
000039	6
000040	6
000041	7
000042	9
000043	5
000044	9
000045	2
000046	7
000047	3
000048	0
000049	3
000050	3
000051	3
000052	7
000053	2
000054	2
000055	6
000056	6
000057	8
000058	3
000059	3
000060	5
000061	0
000062	5
000063	5
000064	0
000065	2
000066	0
000067	0
000068	4
000069	1
000070	3
000071	1
000072	6
000073	3
000074	1
000075	4
000076	4
000077	6
000078	1
000079	9
000080	1
000081	3
000082	5
000083	7
000084	9
000085	7
000086	1
000087	7
000088	9
000089	9
000090	9
000091	3
000092	2
000093	9
000094	3
000095	6
000096	4
000097	1
000098	1
000099	8
000100	8
000101	0
000102	1
000103	1
000104	6
000105	8
000106	1
000107	9
000108	7
000109	8
000110	8
000111	9
000112	6
000113	6
000114	3
000115	1
000116	5
000117	4
000118	6
000119	7
000120	5
000121	5
000122	9
000123	2
000124	2
000125	2
000126	7
000127	6
000128	4
000129	1
000130	8
000131	7
000132	7
000133	5
000134	4
000135	2
000136	9
000137	1
000138	7
000139	4
000140	6
000141	9
000142	7
000143	1
000144	8
000145	7
000146	1
000147	2
000148	8
000149	0
000150	9
000151	1
000152	8
000153	7
000154	0
000155	5
000156	8
000157	6
000158	7
000159	2
000160	0
000161	8
000162	7
000163	1
000164	6
000165	2
000166	1
000167	9
000168	6
000169	0
000170	1
000171	0
000172	5
000173	5
000174	1
000175	7
000176	0
000177	5
000178	8
000179	4
000180	0
000181	4
000182	0
000183	6
000184	6
000185	4
000186	0
000187	0
000188	4
000189	7
000190	3
000191	0
000192	5
000193	8
000194	4
000195	1
000196	1
000197	2
000198	9
000199	2
000200	8
000201	5
000202	0
000203	6
000204	3
000205	4
000206	6
000207	0
000208	9
000209	1
000210	7
000211	3
000212	8
000213	5
000214	8
000215	3
000216	8
000217	5
000218	2
000219	0
000220	8
000221	7
000222	0
000223	3
000224	5
000225	0
000226	6
000227	5
000228	2
000229	7
000230	5
000231	2
000232	6
000233	8
000234	2
000235	6
000236	8
000237	0
000238	4
000239	4
000240	4
000241	4
000242	4
000243	1
000244	5
000245	6
000246	5
000247	3
000248	3
000249	7
000250	3
000251	3
000252	6
000253	2
000254	8
000255	4
000256	6
000257	5
000258	9
000259	3
000260	2
000261	3
000262	2
000263	4
000264	4
000265	8
000266	2
000267	5
000268	3
000269	0
000270	7
000271	2
000272	0
000273	2
000274	5
000275	7
000276	2
000277	3
000278	1
000279	7
000280	6
000281	2
000282	9
000283	1
000284	9
000285	1
000286	1
000287	8
000288	7
000289	8
000290	4
000291	2
000292	6
000293	6
000294	7
000295	9
000296	4
000297	6
000298	1
000299	9
000300	5
000301	6
000302	0
000303	5
000304	0
000305	1
000306	6
000307	1
000308	1
000309	6
000310	7
000311	4
000312	4
000313	8
000314	6
000315	4
000316	6
000317	9
000318	3
000319	7
000320	5
000321	0
000322	8
000323	3
000324	4
000325	0
000326	3
000327	3
000328	2
000329	0
000330	1
000331	0
000332	3
000333	8
000334	3
000335	9
000336	1
000337	9
000338	0
000339	4
000340	7
000341	7
000342	8
000343	5
000344	6
000345	5
000346	6
000347	8
000348	2
000349	5
000350	2
000351	3
000352	1
000353	6
000354	0
000355	7
000356	8
000357	7
000358	8
000359	1
000360	9
000361	6
000362	4
000363	5
000364	7
000365	1
000366	7
000367	6
000368	6
000369	7
000370	3
000371	5
000372	8
000373	7
000374	3
000375	3
000376	9
000377	0
000378	3
000379	1
000380	6
000381	4
000382	7
000383	0
000384	5
000385	1
000386	5
000387	4
000388	4
000389	5
000390	9
000391	1
000392	0
000393	5
000394	8
000395	3
000396	4
000397	4
000398	2
000399	4
